Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - Studio B,1/26/23 0:00,2,3,4,5,4,4,1,2,2,5,7,5,4,11,12,15,24,4,1,112,Active
Marino Recreation Center,Marino Center - Gymnasium,1/26/23 0:00,4,7,10,1,4,15,7,11,10,12,17,31,46,47,54,47,42,44,24,429,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/26/23 0:00,13,32,40,47,43,52,62,67,55,44,53,64,73,73,57,47,39,35,,895,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/26/23 0:00,22,33,35,38,31,37,48,43,45,51,56,61,61,65,57,57,38,43,43,862,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/26/23 0:00,7,11,15,35,37,30,37,35,35,38,46,63,61,58,55,48,41,34,5,691,Active
Marino Recreation Center,Marino Center - Track,1/27/23 0:00,1,2,6,7,7,5,6,7,6,4,6,10,10,16,11,12,7,8,,128,Active
Marino Recreation Center,Marino Center - Studio A,1/27/23 0:00,1,2,3,3,11,8,7,7,1,2,25,9,7,9,6,6,,4,,109,Active
Marino Recreation Center,Marino Center - Studio B,1/27/23 0:00,2,2,3,5,6,3,7,7,5,6,10,9,4,5,2,5,,4,,82,Active
Marino Recreation Center,Marino Center - Gymnasium,1/27/23 0:00,0,1,3,4,3,3,12,17,21,17,27,34,49,50,48,44,,35,,366,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/27/23 0:00,8,16,16,23,20,16,49,60,42,25,27,45,55,69,72,30,32,35,,637,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/27/23 0:00,16,13,28,22,22,24,38,51,41,41,42,60,62,78,88,44,37,38,,741,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/27/23 0:00,8,13,20,,26,43,53,38,26,36,37,42,47,47,47,37,,33,,551,Active
Marino Recreation Center,Marino Center - Track,1/28/23 0:00,,,,2,4,3,2,7,8,6,7,9,9,9,10,5,9,3,,92,Active
Marino Recreation Center,Marino Center - Studio A,1/28/23 0:00,,,,3,7,6,11,13,7,7,7,4,3,8,5,4,3,5,6,97,Active
Marino Recreation Center,Marino Center - Studio B,1/28/23 0:00,,,,2,3,5,10,10,5,5,4,4,4,9,11,7,5,4,6,93,Active
Marino Recreation Center,Marino Center - Gymnasium,1/28/23 0:00,,,,8,44,39,23,33,36,32,37,44,41,41,40,50,39,24,24,553,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/28/23 0:00,,,,15,40,51,23,22,21,23,24,26,28,30,33,28,18,35,,416,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/28/23 0:00,,,,21,28,31,21,20,21,28,29,31,33,35,50,38,35,29,,449,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/28/23 0:00,,,,12,39,42,36,41,39,35,34,39,40,45,39,41,32,20,22,554,Active
Marino Recreation Center,Marino Center - Track,1/29/23 0:00,,,,1,1,2,4,4,5,6,2,2,1,4,6,8,11,4,,61,Active
Marino Recreation Center,Marino Center - Studio A,1/29/23 0:00,,,0,1,7,13,7,,4,8,9,6,8,7,4,9,2,6,5,95,Active
Marino Recreation Center,Marino Center - Studio B,1/29/23 0:00,,,1,1,10,11,7,,2,3,3,3,4,6,9,5,2,2,2,71,Active
Marino Recreation Center,Marino Center - Gymnasium,1/29/23 0:00,,,0,1,8,14,39,,32,50,55,78,39,36,31,28,32,27,28,497,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/29/23 0:00,,,,14,26,23,26,25,42,50,41,34,33,33,32,31,20,20,,447,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/29/23 0:00,,,,22,21,26,25,31,37,47,48,23,26,32,40,33,26,38,,473,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/29/23 0:00,,,0,15,20,34,33,,32,23,28,38,47,41,32,28,18,27,18,434,Active
Marino Recreation Center,Marino Center - Track,1/30/23 0:00,1,2,3,7,4,5,4,5,4,3,3,3,10,9,,12,11,10,,94,Active
Marino Recreation Center,Marino Center - Studio A,1/30/23 0:00,1,2,4,5,5,5,5,5,6,6,9,6,14,13,13,18,20,11,,146,Active
Marino Recreation Center,Marino Center - Studio B,1/30/23 0:00,1,1,1,7,4,7,7,5,6,2,4,3,10,11,15,16,16,14,,126,Active
Marino Recreation Center,Marino Center - Gymnasium,1/30/23 0:00,0,9,21,19,17,20,20,14,11,10,17,36,42,43,54,43,37,50,,460,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/30/23 0:00,11,36,35,41,39,34,45,47,44,36,34,45,68,77,66,53,63,46,,819,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/30/23 0:00,37,47,57,48,38,36,39,42,25,44,44,51,69,68,56,65,55,48,,871,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/30/23 0:00,6,23,27,29,29,32,32,38,36,45,46,50,53,63,66,62,30,38,,702,Active
Marino Recreation Center,Marino Center - Track,1/31/23 0:00,0,6,12,5,4,6,8,9,8,12,12,5,7,6,20,14,17,6,,155,Active
Marino Recreation Center,Marino Center - Studio A,1/31/23 0:00,0,3,7,5,3,5,6,9,8,7,7,10,13,22,16,9,6,8,,141,Active
Marino Recreation Center,Marino Center - Studio B,1/31/23 0:00,0,1,6,4,5,8,3,9,7,3,4,6,8,14,19,16,5,6,,120,Active
Marino Recreation Center,Marino Center - Gymnasium,1/31/23 0:00,0,18,26,27,27,29,14,15,17,29,40,66,79,58,35,35,34,34,,580,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/31/23 0:00,0,17,20,52,51,50,51,73,69,32,25,31,33,29,43,50,55,44,,721,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/31/23 0:00,4,19,22,36,40,50,53,60,51,46,29,54,57,53,63,67,60,47,,810,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/31/23 0:00,2,18,24,29,29,31,33,31,36,44,59,65,61,61,43,34,33,34,,664,Active
Marino Recreation Center,Marino Center - Track,2/1/23 0:00,1,2,2,9,8,10,9,10,9,1,3,7,11,10,14,9,9,5,6,133,Active
Marino Recreation Center,Marino Center - Studio A,2/1/23 0:00,1,3,7,4,3,4,6,5,5,5,5,7,9,11,25,18,8,11,8,144,Active
Marino Recreation Center,Marino Center - Studio B,2/1/23 0:00,0,1,5,4,3,2,3,3,4,3,16,14,13,14,20,8,12,13,11,147,Active
Marino Recreation Center,Marino Center - Gymnasium,2/1/23 0:00,1,3,6,4,3,4,9,13,13,28,44,43,46,48,57,36,26,23,23,425,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/1/23 0:00,13,16,16,41,37,34,58,72,71,38,49,40,46,39,53,58,59,58,57,855,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/1/23 0:00,20,35,38,40,38,37,52,62,60,48,52,48,52,53,53,52,60,59,57,914,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/1/23 0:00,8,22,27,43,35,39,42,40,42,34,37,40,43,44,48,50,48,31,29,697,Active
Marino Recreation Center,Marino Center - Track,2/2/23 0:00,2,2,4,5,6,4,5,6,3,1,3,10,7,16,12,12,9,9,9,122,Active
Marino Recreation Center,Marino Center - Studio A,2/2/23 0:00,1,2,2,12,8,5,4,5,6,5,4,7,11,12,12,13,19,2,3,130,Active
Marino Recreation Center,Marino Center - Studio B,2/2/23 0:00,1,2,3,9,5,6,1,4,2,5,5,6,7,7,7,8,6,6,7,96,Active
Marino Recreation Center,Marino Center - Gymnasium,2/2/23 0:00,2,4,10,3,6,8,15,13,20,23,25,36,43,43,42,35,44,28,19,414,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/2/23 0:00,7,22,33,41,39,36,48,73,60,48,53,61,84,77,56,35,44,44,44,905,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/2/23 0:00,19,31,27,35,29,28,39,53,41,54,57,56,62,60,42,37,60,60,57,847,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/2/23 0:00,4,6,14,27,47,42,37,49,36,39,42,56,65,53,59,38,36,30,26,706,Active
Marino Recreation Center,Marino Center - Track,2/3/23 0:00,1,3,4,5,5,2,7,12,10,10,4,5,10,6,2,1,2,7,2,96,Active
Marino Recreation Center,Marino Center - Studio A,2/3/23 0:00,0,2,3,4,3,5,9,9,8,9,11,8,5,7,4,2,3,2,0,92,Active
Marino Recreation Center,Marino Center - Studio B,2/3/23 0:00,0,1,0,2,4,2,3,4,4,5,7,7,7,5,4,5,3,0,0,62,Active
Marino Recreation Center,Marino Center - Gymnasium,2/3/23 0:00,0,5,6,6,6,9,8,17,14,15,18,38,39,38,31,28,23,26,14,339,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/3/23 0:00,0,15,20,25,27,29,39,76,73,54,40,51,50,40,,45,29,16,17,644,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/3/23 0:00,11,22,27,25,27,29,28,60,55,55,55,56,46,47,40,43,28,31,27,709,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/3/23 0:00,0,17,18,23,24,26,38,45,46,47,48,43,45,44,27,20,16,17,7,549,Active
Marino Recreation Center,Marino Center - Track,2/4/23 0:00,,,,0,4,4,4,2,5,5,6,8,9,11,6,10,7,4,,83,Active
Marino Recreation Center,Marino Center - Studio A,2/4/23 0:00,,,,1,3,2,2,12,9,6,6,7,5,5,3,4,6,3,1,72,Active
Marino Recreation Center,Marino Center - Studio B,2/4/23 0:00,,,,0,3,2,2,8,5,5,5,3,4,4,5,2,1,1,0,47,Active
Marino Recreation Center,Marino Center - Gymnasium,2/4/23 0:00,,,,4,12,16,22,22,29,32,34,31,34,38,24,16,22,22,12,369,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/4/23 0:00,,,,8,23,23,22,21,21,22,23,25,27,29,20,24,19,19,,324,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/4/23 0:00,,,,12,24,31,31,25,30,35,37,39,40,42,32,43,38,30,,486,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/4/23 0:00,,,,11,11,29,26,32,37,37,33,32,35,35,29,24,13,14,9,405,Active
Marino Recreation Center,Marino Center - Track,2/5/23 0:00,,,0,1,4,3,2,3,3,2,4,7,7,5,6,5,6,8,10,75,Active
Marino Recreation Center,Marino Center - Studio A,2/5/23 0:00,,,0,1,2,17,18,8,6,23,35,11,10,7,3,10,11,5,7,172,Active
Marino Recreation Center,Marino Center - Studio B,2/5/23 0:00,,,0,0,1,6,6,8,4,9,8,8,7,7,3,6,5,5,2,83,Active
Marino Recreation Center,Marino Center - Gymnasium,2/5/23 0:00,,,0,0,6,16,24,21,21,51,66,66,53,36,35,47,47,27,26,541,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/5/23 0:00,,,0,3,11,22,26,31,34,37,51,46,42,39,35,34,38,35,28,510,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/5/23 0:00,,,0,8,16,20,22,24,28,34,41,33,31,31,25,32,32,41,40,454,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/5/23 0:00,,,0,11,31,39,40,36,43,36,31,30,28,29,37,26,24,25,29,493,Active
Marino Recreation Center,Marino Center - Track,2/6/23 0:00,0,1,3,5,9,6,6,7,7,7,9,9,11,13,8,6,7,8,,121,Active
Marino Recreation Center,Marino Center - Studio A,2/6/23 0:00,1,3,7,5,6,4,6,7,7,6,8,10,12,10,10,9,20,,,130,Active
Marino Recreation Center,Marino Center - Studio B,2/6/23 0:00,0,2,4,3,4,5,3,3,4,3,4,5,7,5,9,12,14,,,87,Active
Marino Recreation Center,Marino Center - Gymnasium,2/6/23 0:00,0,15,17,18,19,21,10,20,17,15,28,35,37,36,31,26,29,,,372,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/6/23 0:00,12,20,19,33,39,36,36,35,32,28,32,65,88,78,67,63,64,55,,801,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/6/23 0:00,28,48,44,37,48,47,55,54,49,50,69,84,70,80,78,76,73,57,,1046,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/6/23 0:00,2,16,40,30,29,24,39,38,37,34,47,55,57,56,50,45,43,,,641,Active
Marino Recreation Center,Marino Center - Track,2/7/23 0:00,,2,6,4,6,3,4,9,6,5,7,10,6,5,14,15,20,9,4,134,Active
Marino Recreation Center,Marino Center - Studio A,2/7/23 0:00,,2,4,5,7,11,10,9,8,4,8,9,10,12,16,10,8,10,2,143,Active
Marino Recreation Center,Marino Center - Studio B,2/7/23 0:00,,1,2,3,5,2,2,3,3,4,4,3,10,13,12,7,4,5,2,83,Active
Marino Recreation Center,Marino Center - Gymnasium,2/7/23 0:00,,2,9,23,25,9,11,17,24,40,34,43,41,38,39,40,39,39,29,501,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/7/23 0:00,,13,16,48,48,62,56,85,66,59,50,60,57,54,60,61,69,35,21,919,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/7/23 0:00,,30,35,38,38,34,40,63,47,48,51,47,56,53,67,76,86,80,27,914,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/7/23 0:00,,21,32,15,18,35,40,43,42,38,59,62,52,45,45,42,33,33,18,671,Active
Marino Recreation Center,Marino Center - Track,2/8/23 0:00,,4,6,6,4,5,4,7,7,2,6,7,8,9,11,9,7,8,4,111,Active
Marino Recreation Center,Marino Center - Studio A,2/8/23 0:00,1,3,4,3,8,6,5,7,5,5,5,8,9,9,16,9,10,0,10,122,Active
Marino Recreation Center,Marino Center - Studio B,2/8/23 0:00,0,3,0,3,5,7,6,5,5,9,4,6,7,7,8,6,17,8,6,110,Active
Marino Recreation Center,Marino Center - Gymnasium,2/8/23 0:00,2,17,18,3,7,8,17,24,26,26,28,30,31,32,60,58,61,54,31,530,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/8/23 0:00,,27,30,31,32,29,54,69,60,55,73,46,35,35,76,56,69,,48,822,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/8/23 0:00,,24,33,29,34,33,42,57,44,51,67,63,64,62,69,40,58,59,55,881,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/8/23 0:00,2,23,28,44,47,30,33,38,37,29,28,30,31,32,66,51,56,37,25,664,Active
Marino Recreation Center,Marino Center - Track,2/9/23 0:00,0,2,3,3,7,4,7,7,4,1,6,6,7,10,7,4,2,4,5,85,Active
Marino Recreation Center,Marino Center - Studio A,2/9/23 0:00,1,3,3,12,4,3,6,7,4,3,11,8,11,13,12,6,7,7,4,124,Active
Marino Recreation Center,Marino Center - Studio B,2/9/23 0:00,1,2,2,10,3,2,4,5,6,5,7,6,8,11,11,14,9,11,8,123,Active
Marino Recreation Center,Marino Center - Gymnasium,2/9/23 0:00,2,20,24,2,3,15,17,22,26,26,30,28,29,48,43,42,50,64,54,543,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/9/23 0:00,6,23,30,33,41,28,53,72,52,46,69,70,78,77,74,69,56,57,45,976,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/9/23 0:00,10,33,30,41,36,37,48,54,35,56,59,54,61,70,67,67,61,61,55,933,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/9/23 0:00,1,17,20,36,46,42,33,36,41,43,45,53,71,64,54,55,50,49,40,795,Active
Marino Recreation Center,Marino Center - Track,2/10/23 0:00,0,3,1,4,7,5,4,6,8,5,6,4,5,5,6,6,7,10,6,96,Active
Marino Recreation Center,Marino Center - Studio A,2/10/23 0:00,2,1,4,4,5,8,9,6,5,14,20,10,10,13,15,4,5,3,4,139,Active
Marino Recreation Center,Marino Center - Studio B,2/10/23 0:00,0,1,1,5,5,5,6,8,7,9,6,6,8,6,8,4,4,2,3,92,Active
Marino Recreation Center,Marino Center - Gymnasium,2/10/23 0:00,1,25,2,6,8,9,16,16,17,30,30,29,37,41,42,36,39,27,22,430,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/10/23 0:00,0,11,11,18,24,29,35,37,35,35,37,70,73,68,58,49,39,26,31,685,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/10/23 0:00,0,21,15,26,33,36,43,44,42,42,44,50,55,65,51,43,41,33,40,721,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/10/23 0:00,15,15,27,33,33,34,41,45,29,35,35,34,35,35,41,32,32,32,33,616,Active
Marino Recreation Center,Marino Center - Track,2/11/23 0:00,,,,2,5,3,6,6,5,8,6,6,6,6,8,5,3,8,6,86,Active
Marino Recreation Center,Marino Center - Studio A,2/11/23 0:00,,,,2,2,12,12,12,5,4,5,8,5,5,3,3,2,4,,83,Active
Marino Recreation Center,Marino Center - Studio B,2/11/23 0:00,,,,1,2,7,10,5,1,4,4,4,4,3,3,0,0,2,,48,Active
Marino Recreation Center,Marino Center - Gymnasium,2/11/23 0:00,,,,8,56,40,32,28,34,33,45,32,28,35,37,36,35,37,,514,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/11/23 0:00,,,,16,36,30,42,44,47,38,31,33,35,34,39,38,25,42,40,569,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/11/23 0:00,,,,24,32,25,35,37,39,43,47,47,48,46,36,29,32,32,34,585,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/11/23 0:00,,,,11,37,42,34,33,33,29,30,33,34,38,21,23,23,25,,443,Active
Marino Recreation Center,Marino Center - Track,2/12/23 0:00,,,0,1,2,1,2,3,4,1,2,3,0,1,1,7,4,5,,34,Active
Marino Recreation Center,Marino Center - Studio A,2/12/23 0:00,,,0,1,2,3,4,8,4,21,30,5,4,8,6,6,4,6,5,114,Active
Marino Recreation Center,Marino Center - Studio B,2/12/23 0:00,,,0,0,2,2,3,4,4,11,9,4,1,6,7,1,8,7,4,70,Active
Marino Recreation Center,Marino Center - Gymnasium,2/12/23 0:00,,,0,1,4,16,17,19,22,42,55,57,33,29,11,11,14,19,18,365,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/12/23 0:00,,,0,3,22,29,35,39,38,42,49,41,31,23,17,18,23,18,,427,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/12/23 0:00,,,0,9,18,32,32,33,40,45,53,45,27,25,16,17,18,21,,430,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/12/23 0:00,,,0,11,30,31,31,22,18,35,31,36,29,35,32,32,28,22,20,440,Active
Marino Recreation Center,Marino Center - Track,2/13/23 0:00,0,1,2,4,5,8,6,4,5,4,7,9,6,8,7,5,4,4,,86,Active
Marino Recreation Center,Marino Center - Studio A,2/13/23 0:00,1,2,2,4,4,5,5,6,8,10,13,11,13,15,10,11,20,7,,144,Active
Marino Recreation Center,Marino Center - Studio B,2/13/23 0:00,1,1,3,5,6,7,7,11,1,1,4,6,8,10,8,9,12,9,,107,Active
Marino Recreation Center,Marino Center - Gymnasium,2/13/23 0:00,0,3,1,17,19,21,20,18,10,17,21,19,21,23,59,39,46,73,,425,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/13/23 0:00,11,21,24,28,31,28,31,30,27,33,41,55,58,70,62,59,56,49,,711,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/13/23 0:00,28,43,46,35,27,37,36,35,37,61,64,77,73,79,78,75,71,64,,963,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/13/23 0:00,9,17,28,24,24,23,26,28,48,58,59,50,52,54,57,48,50,30,,685,Active
Marino Recreation Center,Marino Center - Track,2/14/23 0:00,0,3,3,3,4,3,7,7,5,6,6,7,8,,11,12,10,7,,99,Active
Marino Recreation Center,Marino Center - Studio A,2/14/23 0:00,0,2,1,3,4,5,5,6,3,9,10,5,9,12,20,15,9,6,,122,Active
Marino Recreation Center,Marino Center - Studio B,2/14/23 0:00,0,1,2,4,5,7,7,8,2,3,4,5,3,8,14,22,15,12,,121,Active
Marino Recreation Center,Marino Center - Gymnasium,2/14/23 0:00,0,2,3,16,20,17,13,16,28,46,49,48,50,32,32,34,31,31,,466,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/14/23 0:00,3,20,20,33,42,42,47,57,49,40,41,48,50,,52,58,56,53,,709,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/14/23 0:00,12,29,28,33,37,34,41,49,39,36,55,65,64,,68,62,59,54,,764,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/14/23 0:00,0,17,28,23,24,29,51,49,39,37,49,62,57,55,55,45,46,43,,709,Active
Marino Recreation Center,Marino Center - Track,2/15/23 0:00,2,3,1,4,4,3,5,6,5,2,4,4,6,8,10,11,10,9,5,98,Active
Marino Recreation Center,Marino Center - Studio A,2/15/23 0:00,1,3,5,6,5,6,7,7,7,5,6,7,4,14,11,13,15,10,11,142,Active
Marino Recreation Center,Marino Center - Studio B,2/15/23 0:00,0,1,1,1,6,3,4,7,7,8,9,11,10,15,5,10,11,9,9,126,Active
Marino Recreation Center,Marino Center - Gymnasium,2/15/23 0:00,0,24,18,5,7,9,9,11,13,19,23,29,30,34,78,68,68,55,56,554,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/15/23 0:00,18,21,29,31,22,37,41,48,53,52,51,49,38,40,62,63,63,55,55,827,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/15/23 0:00,26,26,27,34,28,32,38,44,47,44,58,61,57,58,56,55,59,53,53,855,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/15/23 0:00,5,18,29,33,31,33,34,38,38,29,32,35,37,45,62,61,60,40,40,698,Active
Marino Recreation Center,Marino Center - Track,2/16/23 0:00,0,0,2,3,4,5,6,6,5,4,12,5,8,8,6,3,4,8,,88,Active
Marino Recreation Center,Marino Center - Studio A,2/16/23 0:00,1,2,3,10,4,8,7,3,3,4,,7,12,15,16,20,14,12,,139,Active
Marino Recreation Center,Marino Center - Studio B,2/16/23 0:00,0,2,5,2,5,3,5,3,4,4,,5,8,17,25,17,13,8,,124,Active
Marino Recreation Center,Marino Center - Gymnasium,2/16/23 0:00,3,9,14,4,7,8,10,14,19,20,,26,26,47,46,41,37,49,,377,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/16/23 0:00,7,25,30,31,23,24,48,46,48,42,33,64,68,61,62,55,55,54,,773,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/16/23 0:00,21,32,24,24,29,30,41,37,37,28,38,50,48,57,69,69,68,62,,761,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/16/23 0:00,2,12,20,38,39,36,36,36,33,33,,48,61,65,54,44,42,34,,631,Active
Marino Recreation Center,Marino Center - Track,2/17/23 0:00,0,3,2,3,3,3,3,5,3,5,7,7,5,8,4,2,2,7,,70,Active
Marino Recreation Center,Marino Center - Studio A,2/17/23 0:00,1,1,0,5,11,7,6,12,10,14,10,4,7,7,7,4,3,1,,109,Active
Marino Recreation Center,Marino Center - Studio B,2/17/23 0:00,,2,1,3,5,4,3,5,8,11,8,9,2,5,6,2,2,2,,74,Active
Marino Recreation Center,Marino Center - Gymnasium,2/17/23 0:00,1,29,2,5,7,8,9,10,15,18,29,33,35,40,53,40,39,59,,433,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/17/23 0:00,0,14,18,18,19,21,25,31,26,28,30,68,67,69,70,67,34,31,,633,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/17/23 0:00,4,19,25,27,32,32,35,44,40,42,41,73,75,64,68,66,45,48,,777,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/17/23 0:00,4,15,18,33,23,32,33,45,52,46,49,31,29,33,41,25,22,22,,551,Active
Marino Recreation Center,Marino Center - Track,2/18/23 0:00,,,,0,4,4,2,2,4,4,6,7,8,6,8,2,7,7,5,73,Active
Marino Recreation Center,Marino Center - Studio A,2/18/23 0:00,,,,1,6,11,16,6,11,5,4,2,2,4,5,2,,3,,77,Active
Marino Recreation Center,Marino Center - Studio B,2/18/23 0:00,,,,0,3,4,4,3,4,4,6,5,5,4,2,1,,2,,48,Active
Marino Recreation Center,Marino Center - Gymnasium,2/18/23 0:00,,,,14,26,34,32,30,17,19,29,29,28,29,35,27,,25,27,401,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/18/23 0:00,,,,12,34,35,34,34,35,35,37,38,39,36,28,22,19,18,18,471,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/18/23 0:00,,,,26,32,39,40,39,41,40,42,43,44,41,29,28,37,32,27,578,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/18/23 0:00,,,,20,24,34,28,25,28,39,38,32,31,28,23,18,,24,,390,Active
Marino Recreation Center,Marino Center - Track,2/19/23 0:00,,,0,0,1,3,4,5,3,4,4,1,1,1,2,6,7,6,0,46,Active
Marino Recreation Center,Marino Center - Studio A,2/19/23 0:00,,,,0,2,11,5,4,4,,7,3,4,14,5,,4,4,8,72,Active
